wall,blockTs,asset,value,feedTs
1783482738,1783482738,BTC/USD,62960353618161058185216,1783481206
1783482738,1783482738,ETH/USD,1759115299058981797888,1783481576
1783482738,1783482738,LTC/USD,43623225198345080832,1783482585
1783482738,1783482738,XRP/USD,1100153705625000064,1783481118
1783482738,1783482738,RAIN/USD,0,0
1783482758,1783482757,BTC/USD,62960353618161058185216,1783481206
1783482758,1783482757,ETH/USD,1759115299058981797888,1783481576
1783482758,1783482757,LTC/USD,43623225198345080832,1783482585
1783482758,1783482757,XRP/USD,1100153705625000064,1783481118
1783482758,1783482757,RAIN/USD,0,0
1783482777,1783482777,BTC/USD,62960353618161058185216,1783481206
1783482777,1783482777,ETH/USD,1759115299058981797888,1783481576
1783482777,1783482777,LTC/USD,43623225198345080832,1783482585
1783482777,1783482777,XRP/USD,1100153705625000064,1783481118
1783482777,1783482777,RAIN/USD,0,0
1783482796,1783482796,BTC/USD,62960353618161058185216,1783481206
1783482796,1783482796,ETH/USD,1759115299058981797888,1783481576
1783482796,1783482796,LTC/USD,43623225198345080832,1783482585
1783482796,1783482796,XRP/USD,1100153705625000064,1783481118
1783482796,1783482796,RAIN/USD,0,0
1783482816,1783482815,BTC/USD,62960353618161058185216,1783481206
1783482816,1783482815,ETH/USD,1759115299058981797888,1783481576
1783482816,1783482815,LTC/USD,43623225198345080832,1783482585
1783482816,1783482815,XRP/USD,1100153705625000064,1783481118
1783482816,1783482815,RAIN/USD,0,0
1783482835,1783482835,BTC/USD,62960353618161058185216,1783481206
1783482835,1783482835,ETH/USD,1759115299058981797888,1783481576
1783482835,1783482835,LTC/USD,43623225198345080832,1783482585
1783482835,1783482835,XRP/USD,NA,NA
1783482835,1783482835,RAIN/USD,0,0
1783482898,1783482899,BTC/USD,62955156742625002782720,1783482854
1783482898,1783482899,ETH/USD,1758822299658456268800,1783482855
1783482898,1783482899,LTC/USD,43623225198345080832,1783482585
1783482898,1783482899,XRP/USD,1100574023999658624,1783482860
1783482898,1783482899,RAIN/USD,0,0
1783482918,1783482918,BTC/USD,62955156742625002782720,1783482854
1783482918,1783482918,ETH/USD,1758822299658456268800,1783482855
1783482918,1783482918,LTC/USD,43623225198345080832,1783482585
1783482918,1783482918,XRP/USD,1100574023999658624,1783482860
1783482918,1783482918,RAIN/USD,0,0
1783482937,1783482937,BTC/USD,62955156742625002782720,1783482854
1783482937,1783482937,ETH/USD,1758822299658456268800,1783482855
